Nickname,Name,Attack,Attack Modifier,Level,Attack Util,Attack Element Util,Attack Modifier Util,Card Type,Category,Value,Level Util,Lore,Skill Description,Win,Lose,Copies,Card Art,Value Art,Win Art,Lose Art,Suite
Wishing Well of Sorrows,Wishing Well of Sorrows,,,,0,Water,None,Place,,,1,"A deep well surrounded by bones. Make a wish by discarding half your Gold. Roll 1 die: 1-2 wish backfires, 3-4 nothing, 5-6 wish granted in an unexpected way.","Make a wish by discarding half your Gold. Roll 1 die: 1-2 wish backfires, 3-4 nothing, 5-6 wish granted in an unexpected way.",,,1,,null,null,null,Event
Shadow Assassin,Shadow Assassin,{physical:3},{d6:+},2,3,Physical,D6,Enemy,Monster,2,2,"A silent killer emerges from the darkness, blades glinting.",,Gain 1 Stealth Token and 2 Gold.,Lose 1 Life and discard 1 Item.,1,Fantasy Characters/shadow_assassin.webp,PH/coin.png,PH/win.png,PH/lose.png,City Encounter
Ancient Oak,Ancient Oak,,,,0,Grass,None,Place,,0,0,,"The tree offers wisdom to those who listen. Roll 1 die: 1-3) Gain 1 Lore, 4-6) Heal 1 Life.",,,1,Fantasy Places/ancient_oak.webp,null,null,null,Forest Encounter
Fire Sprite,Fire Sprite,{fire:2},{d4:+},1,2,Fire,D4,Enemy,Monster,1,1,"A mischievous sprite dances in flames, cackling.",,Draw 1 Spell card.,Lose 1 Life.,1,Fantasy Creatures/fire_sprite.webp,PH/coin.png,PH/win.png,PH/lose.png,Forest Encounter
Wandering Merchant,Wandering Merchant,,,,0,Physical,None,Follower,,0,0,,"You may buy or sell any number of Items. If you buy, pay 2 Gold per Item. If you sell, gain 1 Gold per Item.",,,1,Fantasy Characters/wandering_merchant.webp,null,null,null,Anvil
Frost Wolf,Frost Wolf,{water:3},{d4:+},2,3,Water,D4,Enemy,Monster,2,2,A massive wolf with icy breath blocks your path.,,Gain 1 Pelt and 1 Gold.,Lose 1 Life and skip your next turn.,1,Fantasy Creatures/frost_wolf.webp,PH/coin.png,PH/win.png,PH/lose.png,Forest Encounter
Enchanted Fountain,Enchanted Fountain,,,,0,Water,None,Place,,0,0,,Drink from the fountain: Heal 2 Life or gain 1 Spell card. You may only choose one.,,,1,Fantasy Places/enchanted_fountain.webp,null,null,null,Event
Bandit Captain,Bandit Captain,{physical:4},{d6:+},3,4,Physical,D6,Enemy,Monster,3,3,A notorious bandit leader demands your valuables.,,Gain 3 Gold and 1 Item.,Lose all Gold and 1 Item.,1,Fantasy Characters/bandit_captain.webp,PH/coin.png,PH/win.png,PH/lose.png,City Encounter
Mysterious Portal,Mysterious Portal,,,,0,Fire,None,Place,,0,0,,"Step through the portal: Roll 1 die. 1-2) Move to any Place, 3-4) Gain 1 Spell, 5-6) Lose 1 Life.",,,1,Fantasy Places/mysterious_portal.webp,null,null,null,Anvil
Goblin Swarm,Goblin Swarm,{physical:2},{d6:+},1,2,Physical,D6,Enemy,Monster,1,1,"A horde of goblins rushes you, shrieking.",,Gain 2 Gold and 1 Item.,Lose 1 Life and 1 Gold.,1,Fantasy Creatures/goblin_swarm.webp,PH/coin.png,PH/win.png,PH/lose.png,City Encounter
Wishing Stone,Wishing Stone,,,,0,Water,None,Place,,0,0,,"Make a wish: Roll 1 die. 1-2) Nothing happens, 3-4) Gain 1 Gold, 5-6) Gain 1 Spell.",,,1,Fantasy Objects/wishing_stone.webp,null,null,null,Event
Dire Bat,Dire Bat,{physical:2},{d6:+},1,2,Physical,D6,Enemy,Monster,1,1,"A giant bat swoops from the shadows, fangs bared.",,Gain 1 Gold and 1 random Item.,Lose 1 Life and discard 1 Item.,1,Fantasy Creatures/dire_bat.webp,PH/coin.png,PH/win.png,PH/lose.png,Forest Encounter
Crystal Grotto,Crystal Grotto,,,,0,Water,None,Place,,0,0,,"You may search for treasure: Roll 1 die. 1-2) Nothing, 3-4) Gain 1 Gold, 5-6) Gain 1 Magic Item.",,,1,Fantasy Places/crystal_grotto.webp,null,null,null,Forest Encounter
Swamp Hag,Swamp Hag,{grass:3},{d6:+},2,3,Grass,D6,Enemy,Monster,2,2,"A cackling hag emerges from the muck, casting curses.",,Gain 1 Spell and 2 Gold.,Lose 1 Life and gain a Curse.,1,Fantasy Characters/swamp_hag.webp,PH/coin.png,PH/win.png,PH/lose.png,City Encounter
Runestone,Runestone,,,,0,Physical,None,Place,,0,0,,"Touch the stone: Roll 1 die. 1-2) Lose 1 Life, 3-4) Nothing, 5-6) Gain 1 Strength.",,,1,Fantasy Objects/runestone.webp,null,null,null,Event
Ironclad Knight,Ironclad Knight,{physical:4},{d12:+},3,4,Physical,D12,Enemy,Monster,3,3,A knight in full plate armor challenges you to a duel.,,Gain 1 Armor and 2 Gold.,Lose 1 Life and discard 1 Armor.,1,Fantasy Characters/ironclad_knight.webp,PH/coin.png,PH/win.png,PH/lose.png,City Encounter
Moonlit Pool,Moonlit Pool,,,,0,Water,None,Place,,0,0,,Drink from the pool: Heal 1 Life or gain 1 Spell. You may only choose one.,,,1,Fantasy Places/moonlit_pool.webp,null,null,null,Forest Encounter
Cave Troll,Cave Troll,{physical:5},{d20:+},4,5,Physical,D20,Enemy,Monster,4,4,"A hulking troll blocks your way, swinging a massive club.",,Gain 2 Gold and 1 random Item.,Lose 2 Life and discard 1 Item.,1,Fantasy Creatures/cave_troll.webp,PH/coin.png,PH/win.png,PH/lose.png,Forest Encounter
Witch's Cauldron,Witch's Cauldron,,,,0,Fire,None,Place,,0,0,,"Drink the brew: Roll 1 die. 1-2) Lose 1 Life, 3-4) Gain 1 Spell, 5-6) Heal 2 Life.",,,1,Fantasy Objects/witch_cauldron.webp,null,null,null,Anvil
Bandit Ambush,Bandit Ambush,{physical:2},{d6:+},1,2,Physical,D6,Enemy,Monster,1,1,"A group of bandits leaps from the shadows, weapons drawn.",,Gain 2 Gold and 1 Item.,Lose all Gold and 1 Life.,1,Fantasy Characters/bandit_ambush.webp,PH/coin.png,PH/win.png,PH/lose.png,City Encounter
Sacred Grove,Sacred Grove,,,,0,Grass,None,Place,,0,0,,Rest here: Heal 2 Life or gain 1 Lore. You may only choose one.,,,1,Fantasy Places/sacred_grove.webp,null,null,null,Forest Encounter
Fire Drake,Fire Drake,{fire:4},{d20:+},3,4,Fire,D20,Enemy,Monster,3,3,A small but fierce dragon breathes fire at you.,,Gain 1 Fire Gem and 2 Gold.,Lose 2 Life and discard 1 Item.,1,Fantasy Creatures/fire_drake.webp,PH/coin.png,PH/win.png,PH/lose.png,Forest Encounter
Enchanted Lantern,Enchanted Lantern,,,,0,Physical,None,Place,,0,0,,Use the lantern: Ignore the next darkness-based encounter you face.,,,1,Fantasy Objects/enchanted_lantern.webp,null,null,null,Event
Forest Sprite,Forest Sprite,,,,0,Grass,None,Follower,,0,0,,The sprite offers guidance: Move to any Forest space or gain 1 Lore.,,,1,Fantasy Creatures/forest_sprite.webp,null,null,null,Forest Encounter
Haunted Armor,Haunted Armor,{physical:3},{d6:+},2,3,Physical,D6,Enemy,Monster,2,2,"An empty suit of armor lurches to life, swinging a spectral blade.",,Gain 1 Armor and 1 Gold.,Lose 1 Life and discard 1 Armor.,1,Fantasy Characters/haunted_armor.webp,PH/coin.png,PH/win.png,PH/lose.png,City Encounter
Mystic Obelisk,Mystic Obelisk,,,,0,Water,None,Place,,0,0,,"Touch the obelisk: Roll 1 die. 1-2) Lose 1 Life, 3-4) Gain 1 Spell, 5-6) Gain 1 Strength.",,,1,Fantasy Objects/mystic_obelisk.webp,null,null,null,Event
River Serpent,River Serpent,{water:3},{d6:+},2,3,Water,D6,Enemy,Monster,2,2,"A massive serpent rises from the water, hissing.",,Gain 1 Water Gem and 2 Gold.,Lose 1 Life and discard 1 Item.,1,Fantasy Creatures/river_serpent.webp,PH/coin.png,PH/win.png,PH/lose.png,Forest Encounter
Wandering Sage,Wandering Sage,,,,0,Physical,None,Follower,,0,0,,The sage offers wisdom: Gain 1 Lore or draw 1 Spell card.,,,1,Fantasy Characters/wandering_sage.webp,null,null,null,Anvil
Obsidian Idol,Obsidian Idol,,,,0,Fire,None,Place,,0,0,,"Pray at the idol: Roll 1 die. 1-2) Lose 1 Life, 3-4) Gain 1 Gold, 5-6) Gain 1 Spell.",,,1,Fantasy Objects/obsidian_idol.webp,null,null,null,Event
Dire Wolf,Dire Wolf,{physical:3},{d6:+},2,3,Physical,D6,Enemy,Monster,2,2,A huge wolf with glowing eyes stalks you.,,Gain 1 Pelt and 1 Gold.,Lose 1 Life and skip your next turn.,1,Fantasy Creatures/dire_wolf.webp,PH/coin.png,PH/win.png,PH/lose.png,Forest Encounter
Fey Circle,Fey Circle,,,,0,Grass,None,Place,,0,0,,"Dance with the fey: Roll 1 die. 1-2) Lose 1 Life, 3-4) Gain 1 Lore, 5-6) Gain 1 Spell.",,,1,Fantasy Places/fey_circle.webp,null,null,null,Forest Encounter
