Card Nickname,Name,Copies,Cost 1,Cost 2,Cost 3,Attack,Defense,Card Type,Category,Text,Card Art
Cookie,Cookie,2,🔵,🔵,🔴,1,1,Action,Emperor,Penguin Postman: Send a penguin on a postal journey to another player's collection. Attach a cute sticker to the card before sending it off.,Fantasy Cards/!a!FantasyCardsPack_025.webp
Marshmallow,Marshmallow,2,🟢,🟢,🔴,1,1,Trap,Adélie,"Penguin Pilates: Perform penguin-themed pilates exercises while holding your cards. If you can hold the poses until your next turn, draw an extra card.",Fantasy Cards/!a!FantasyCardsPack_026.webp
Bongo,Bongo,3,🟢,🟢,🔵,1,1,Passive,King,"Penguin Pillow Fight: Engage in a virtual pillow fight with opponents by softly tapping their shoulders. If they laugh, they must discard a card.",Fantasy Cards/!a!FantasyCardsPack_032.webp
Cupcake,Cupcake,3,🔴,🟢,🔵,2,1,Action,Galápagos,"Penguin Pandemonium: All players must shout ""Penguin Pandemonium!"" and swap one card with each player in clockwise order.",Fantasy Cards/!a!FantasyCardsPack_033.webp
Peanut,Peanut,2,🟢,🔵,🔴,1,1,Trap,Emperor,Penguin Prankster: Swap two of your penguins with each other while pretending they're in disguise. Players must guess which penguin is which to avoid the prank.,Fantasy Cards/!a!FantasyCardsPack_034.webp
Sushi,Sushi,2,🔵,🔴,🟢,,1,Passive,Adélie,"Penguin Pajama Parade: All players must stand up and parade around the table in slow-motion while chanting, ""Penguin pajama parade!""",Fantasy Cards/!a!FantasyCardsPack_035.webp
Jellybean,Jellybean,2,🔴,🔴,🔵,1,1,Action,King,Penguin Playdate: Choose another player for a penguin playdate. Trade a card from your collection and receive one from theirs as a token of friendship.,Fantasy Cards/!a!FantasyCardsPack_037.webp
Pickles,Pickles,2,🔴,🔴,🟢,,1,Trap,Galápagos,Penguin Palindrome: Spell a penguin-related word backward and challenge other players to guess it. Successful guesses earn the guesser an extra card.,Fantasy Cards/!a!FantasyCardsPack_038.webp
Sprinkle,Sprinkle,2,🔵,🔵,🟢,1,1,Passive,Emperor,Penguin Poker: Play a round of penguin poker with your cards face down. The player with the highest card wins the pot of cards.,Fantasy Cards/!a!FantasyCardsPack_039.webp
Snickers,Snickers,2,🔵,🔵,🔴,2,1,Action,Adélie,"Penguin Poet: Write a short penguin-themed poem using only words from your cards. Players vote on the best poem, and the winner gains an extra card.",Fantasy Cards/!a!FantasyCardsPack_040.webp
Buzzy,Buzzy,2,🟢,🟢,🔴,1,1,Trap,King,"Penguin Paparazzo: Take a picture of yourself imitating a penguin and send it to the player on your right. If they laugh, they must give you a card.",Fantasy Cards/!a!FantasyCardsPack_041.webp
